Stadtteil,Mietpreis pro qm,Gruenflaeche,AQI,Fahrradhausanzahl,Flaeche,Anzahl_Punkte
Eppendorf,11.93683454457861,22.6343,2.16680208937899,5.0,2.6662011579779983,3990.0
Farmsen-Berne,9.70754571368668,161.2559,2.201276842716193,,8.220629898203251,8974.0
Francop,9.21416113995785,,2.128148578061521,,8.803004032127145,1466.0
Fuhlsbüttel,10.94781673186038,26.7931,2.16680208937899,,7.7663230852092004,
Groß Borstel,10.88795846771422,170.4293,2.16680208937899,,3.985683506908824,
Groß Flottbek,11.65345780569653,7.208900000000001,2.128148578061521,,2.369124490617963,
HafenCity,14.8170392057951,7.2706,2.16680208937899,,2.4244576336073247,1965.0
Hamburg-Altstadt,11.14150733831418,1.0941,2.16680208937899,,1.2993839815202295,2746.0
Hamm,9.78589131734434,62.1164,2.16680208937899,1.0,3.8861355698122835,5086.0
Hammerbrook,12.6252242495577,5.9749,2.16680208937899,,2.494177498422883,2272.0
Harburg,9.74714244742674,29.2285,2.179303160087973,,3.988290491911381,5573.0
Harvestehude,12.22688946938081,24.3951,2.16680208937899,6.0,2.048906999996833,2502.0
Hausbruch,9.06566476380475,73.13499999999999,2.1479337886329435,,9.83336084259767,6902.0
Heimfeld,9.5445298918276,56.683400000000006,2.179303160087973,,12.994259036673565,6003.0
Hoheluft-Ost,11.59990685944027,0.8070999999999999,2.16680208937899,20.0,0.5651159656378049,848.0
Hoheluft-West,11.55976174543995,2.3584,2.16680208937899,33.0,0.7191996534475121,1078.0
Hohenfelde,11.19039958048569,6.3837,2.16680208937899,,1.1539564974952923,1888.0
Horn,9.3705282758582,198.4888,2.16680208937899,,5.893598954982929,5879.0
Hummelsbüttel,10.4958112170353,140.0155,2.16680208937899,,9.077268448328262,
Iserbrook,9.72132105524485,13.69,2.128148578061521,,2.6681175627272222,1864.0
Jenfeld,9.29492616092934,69.9543,2.201276842716193,,4.987907455433124,4696.0
Kirchwerder,9.55444102676248,18.995,2.211251302234055,,32.29667014605909,4327.0
Kleiner Grasbrook,11.4139850752398,0.2002,2.16680208937899,,4.470300584569164,
Steinwerder,11.4139850752398,,2.16680208937899,,7.421356809722663,
Langenbek,9.04274562802808,10.3785,2.179303160087973,,0.7933118387740142,1036.0
Langenhorn,9.93767185158012,257.0695,2.16680208937899,,13.359148579341575,12540.0
Lemsahl-Mellingstedt,10.44377869998267,23.6825,2.16680208937899,,7.9954710598279,2663.0
Lohbrügge,9.40704911604674,192.8444,2.201276842716193,,13.038704465878224,
Lokstedt,11.0044528286861,77.8917,2.16680208937899,,4.8931243759182745,4928.0
Lurup,9.11255398137383,88.59020000000001,2.128148578061521,,6.287915751337567,5910.0
Marienthal,10.82484063322866,65.3227,2.16680208937899,,3.211081231473485,2778.0
Marmstorf,9.5423601673357,19.697,2.179303160087973,,5.839303782765845,2154.0
Moorburg,9.9740185565254,0.9874,2.179303160087973,,9.992096618738605,
Altenwerder,9.9740185565254,0.8108,2.16680208937899,,6.694988557601603,
Moorfleet,8.88350174813941,4.5627,2.16680208937899,,4.370398426715178,1038.0
Neuallermöhe,8.82501060716644,92.3467,2.211251302234055,,4.201825812379135,
Neuenfelde,9.49981937860299,12.3836,2.128148578061521,,15.661713916183608,2488.0
Neuengamme,9.63937239213436,5.4631,2.211251302234055,,18.60851023447252,1254.0
Neugraben-Fischbek,9.39246979100551,30.0325,2.1479337886329435,,22.509669435253002,9422.0
Neuland,9.4191565975019,89.367,2.179303160087973,,8.079006918919715,
Gut Moor,9.4191565975019,4.96,2.179303160087973,,1.984252926769328,
Neustadt,11.34918426578587,37.6342,2.16680208937899,3.0,2.260319487779536,3911.0
Niendorf,10.07519249401249,212.0126,2.16680208937899,,12.408048820763419,12409.0
Nienstedten,11.54185370363772,62.1961,2.128148578061521,,4.376294188014188,2560.0
Ochsenwerder,9.98605395520475,20.6187,2.179303160087973,,14.081127294833347,1696.0
Ohlsdorf,10.45272190399707,446.021,2.16680208937899,1.0,7.15584156364781,4557.0
Osdorf,9.21076250318743,59.1536,2.128148578061521,,7.245654593017629,7288.0
Othmarschen,11.94376682017977,78.15910000000001,2.128148578061521,1.0,5.942504726403807,5391.0
Ottensen,11.17980856809272,36.1028,2.16680208937899,34.0,2.7929307847139544,3812.0
Poppenbüttel,11.03420670217521,87.0044,2.16680208937899,,8.099920174308943,
Rahlstedt,9.61796159119105,120.62209999999999,2.201276842716193,,26.54833465417659,20497.0
Reitbrook,8.94537846546137,2.0623,2.211251302234055,,6.925582022657229,697.0
Rissen,11.23229594698908,84.10660000000001,2.128148578061521,1.0,16.691536083971577,5169.0
Rönneburg,9.97792030206345,19.4274,2.179303160087973,,2.245884914098818,
Rothenburgsort,9.21047812738601,61.339200000000005,2.16680208937899,,7.1851245999011795,3575.0
Rotherbaum,12.24642980399427,18.0945,2.16680208937899,22.0,2.7334119309595986,2948.0
Sasel,10.7086844876689,23.8899,2.201276842716193,,8.357469700191912,5578.0
Schnelsen,10.21420070386729,24.448400000000003,2.16680208937899,,8.945640114106963,6393.0
Sinstorf,9.19528261164198,48.5724,2.179303160087973,,2.514792383560537,1240.0
Spadenland,9.49531604103573,,2.179303160087973,,3.416913273594176,544.0
St.Georg,12.40801940039407,11.4939,2.16680208937899,6.0,1.8214957422246767,
St.Pauli,11.43994345664788,23.5311,2.16680208937899,14.0,2.241055108251395,
Steilshoop,9.05470123727854,82.38390000000001,2.16680208937899,,2.496695795395546,2498.0
Stellingen,10.39068539890841,108.8261,2.16680208937899,1.0,6.084483168246433,4871.0
Sternschanze,11.7879915307327,9.848,2.16680208937899,8.0,0.5489340210934905,933.0
Sülldorf,10.25519920225399,94.5603,2.128148578061521,,5.732035716461452,
Tatenberg,9.31186320333567,128.45510000000002,2.179303160087973,,3.063470434200113,594.0
Tonndorf,9.6912820931816,59.1304,2.201276842716193,,3.9385464377471378,4410.0
Uhlenhorst,12.08175765675657,8.5041,2.16680208937899,3.0,2.180652955906461,2064.0
Veddel,9.84998447190829,6.4999,2.16680208937899,,4.368204491365445,1708.0
Volksdorf,11.51258579724669,59.64960000000001,2.201276842716193,,11.56792879128382,7756.0
Waltershof,9.23876561110948,,2.16680208937899,,9.770442750204083,
Finkenwerder,9.23876561110948,82.9515,2.128148578061521,,19.62866210629284,
Wandsbek,9.87627767856787,64.9419,2.16680208937899,,5.93962489042819,6684.0
Wellingsbüttel,11.77472026782274,37.3063,2.16680208937899,,4.083628051760679,
Wilhelmsburg,9.14806944459269,324.39520000000005,2.179303160087973,1.0,35.36257777026979,15997.0
Wilstorf,8.88171103503043,87.58789999999999,2.179303160087973,,3.420296866671165,3086.0
Winterhude,11.28576897508608,188.8974,2.16680208937899,14.0,7.581130903506594,9063.0
Wohldorf-Ohlstedt,11.8657843046979,22.3676,2.192803250145096,,17.27765141889928,3560.0
Neuwerk,,,1.9174695298897275,,7.620524630046082,
